MAIN_ID,ra,dec,pmRA,pmDE,Vmag,Umag
* p Vir,208.6756048468918,-01.5031227997568,-86.265,-21.303,5.159,
HD  76924,134.9914057648527,+26.4345134054644,-34.770,19.203,6.86,
HD  58556,111.4884057668257,-02.2484673841649,-14.865,-47.485,6.97,
* eps02 Lyr,281.09491902,+39.61271808,6.18,50.42,5.23,
HD   2942,008.2045265355801,+28.2802410158608,-5.695,6.101,6.33,8.12
HD 170028,276.5818238178565,+26.2277181511966,-2.193,-5.057,6.882,
HD  71172,126.4057299004008,-08.9560607867985,-35.102,3.615,6.51,
* nu. Sco,242.99889865,-19.46070448,-7.65,-23.71,4.00,3.42
V* HR CMa,098.1953006173679,-11.1663802033512,-16.01,5.98,6.24,8.12
HD 179433,288.6648355698961,-45.1935272959234,47.887,-39.836,5.909,
HD 134597,228.1300106609477,-48.2189925454088,-24.939,-41.480,6.332,
HD  24982,059.91655974,+38.82038286,-10.67,-2.42,6.510,6.670
CCDM J16599-7325AB,254.97796525,-73.42248072,-1.86,-10.32,6.734,
HD 161019,265.5066571396421,+27.6451919152925,3.398,40.683,6.72,
HD  50785,103.1651014043256,-42.5044159293695,-13.933,-6.759,6.510,
HD  15524,037.6348055448352,+25.2350285714463,63.313,-75.562,5.879,
HD 137390,231.0213205429902,+45.2710312962929,-14.318,2.441,6.055,
HD 194882,306.2708663894798,+59.6000957917421,1.795,-9.214,6.441,
* del Cap,326.7601843312,-16.1272870853,261.70,-296.70,2.83,3.22
HD  89015,153.8369656731856,-36.5177159058148,-29.120,7.668,6.158,
*  28 Lib,230.2236567275756,-18.1586586621015,-6.048,-61.506,6.17,
HD  36874,083.2807826070129,-35.1393740147245,99.308,-26.951,5.758,
*  51 Aql,297.6949313565149,-10.7635097767730,-32.697,32.475,5.39,
* eps Oct,335.0069987354,-80.4397485361,56.81,-43.47,5.177,
V* W CMa,107.0143180070595,-11.9232758934829,-6.518,2.280,6.56,13.44
HD  11883,029.5135347248569,+49.6427393504213,1.749,-35.201,6.98,
HD  17326A,040.860895479,-66.714229411,107.0,-64.0,6.46,
